# Event IDs from discover-events
#   category=challengers  year=any  since=2024  region=any  search=None
# Total: 115 events
#
3016  # Challengers 2026: EMEA Stage 3 (2026, emea, challengers)
3018  # Challengers 2026: EMEA Last Chance Qualifier (2026, emea, challengers)
2858  # Challengers 2026: North America ACE Stage 3 (2026, americas, challengers)
2779  # Challengers 2026: LATAM North ACE Stage 2 (2026, americas, challengers)
2780  # Challengers 2026: LATAM South ACE Stage 2 (2026, americas, challengers)
2825  # Challengers 2026: Southeast Asia Split 2 (2026, pacific, challengers)
2974  # Challengers 2026: Japan Split 2 (2026, pacific, challengers)
2973  # Challengers 2026: Korea WDG Split 2 (2026, pacific, challengers)
2962  # Challengers 2026: Brazil Gamers Club Stage 2 (2026, americas, challengers)
2968  # Challengers 2026: South Asia Split 2 (2026, pacific, challengers)
2991  # Challengers 2026: Japan Season Finals (2026, pacific, challengers)
3039  # Challengers 2026: Pacific Last Chance Qualifier (2026, pacific, challengers)
2925  # Challengers 2026: EMEA Stage 2 (2026, emea, challengers)
2829  # Challengers 2026: SEA Split 2 - Vietnam Qualifier (2026, pacific, challengers)
2884  # Challengers 2026: NORTH//EAST Stage 2 (2026, ?, challengers)
2857  # Challengers 2026: North America ACE Stage 2 (2026, americas, challengers)
2922  # Challengers 2026: MENA Resilience Pulse Stage - Middle East (2026, emea, challengers)
2923  # Challengers 2026: MENA Resilience Pulse Stage - North Africa (2026, emea, challengers)
2842  # Challengers 2026: France Revolution Stage 2 (2026, emea, challengers)
2921  # Challengers 2026: Spain Rising Stage 3 (2026, emea, challengers)
2824  # Challengers 2026: SEA Split 2 - Indonesia Qualifier (2026, pacific, challengers)
2828  # Challengers 2026: SEA Split 2 - Thailand Qualifier (2026, pacific, challengers)
2826  # Challengers 2026: SEA Split 2 - Philippines Qualifier (2026, pacific, challengers)
2827  # Challengers 2026: SEA Split 2 - Rest of SEA Qualifier (2026, pacific, challengers)
2907  # Challengers 2026: Türkiye Birlik Stage 2 (2026, emea, challengers)
2908  # Challengers 2026: DACH Evolution Stage 2 (2026, emea, challengers)
2919  # Challengers 2026: LATAM North ACE Masters (2026, americas, challengers)
2920  # Challengers 2026: LATAM South ACE Masters (2026, americas, challengers)
2830  # Challengers 2026: Korea WDG Split 1 (2026, pacific, challengers)
2847  # Challengers 2026: Japan Split 1 (2026, pacific, challengers)
2787  # Challengers 2026: Brazil Gamers Club Stage 1 (2026, americas, challengers)
2880  # Challengers 2026: South Asia Split 1 (2026, pacific, challengers)
2777  # Challengers 2026: LATAM North ACE Stage 1 (2026, americas, challengers)
2778  # Challengers 2026: LATAM South ACE Stage 1 (2026, americas, challengers)
2782  # Challengers 2026: EMEA Stage 1 (2026, emea, challengers)
2823  # Challengers 2026: Southeast Asia Split 1 (2026, pacific, challengers)
2898  # Challengers 2026: DACH Evolution Stage 1 Relegation (2026, emea, challengers)
2889  # Challengers 2026: MENA Resilience Kickoff Promotion/Relegation (2026, emea, challengers)
2783  # Challengers 2026: North America ACE Stage 1 (2026, americas, challengers)
2877  # Challengers 2026: DACH Evolution - VCL EMEA Qualifier (2026, emea, challengers)
2801  # Challengers 2026: Türkiye Birlik Kickoff (2026, emea, challengers)
2865  # Challengers 2026: Spain Rising Stage 2 (2026, emea, challengers)
2834  # Challengers 2026: NORTH//EAST Stage 1 (2026, ?, challengers)
2799  # Challengers 2026: MENA Resilience - North Africa Kickoff (2026, emea, challengers)
2800  # Challengers 2026: MENA Resilience - Middle East Kickoff (2026, emea, challengers)
2781  # Challengers 2026: DACH Evolution Stage 1 (2026, emea, challengers)
2822  # Challengers 2026: SEA Split 1 - Vietnam Qualifier (2026, pacific, challengers)
2818  # Challengers 2026: SEA Split 1 - Indonesia Qualifier (2026, pacific, challengers)
2821  # Challengers 2026: SEA Split  1 - Thailand Qualifier (2026, pacific, challengers)
2819  # Challengers 2026: SEA Split 1 - Philippines Qualifier (2026, pacific, challengers)
2820  # Challengers 2026: SEA Split 1 - Rest of SEA Qualifier (2026, pacific, challengers)
2803  # Challengers 2026: France Revolution Stage 1 (2026, emea, challengers)
2792  # Challengers 2026: Spain Rising Stage 1 (2026, emea, challengers)
2791  # Challengers 2026: NORTH//EAST Kickoff (2026, ?, challengers)
2796  # Challengers 2026: North America ACE Qualifier (2026, americas, challengers)
2794  # Challengers 2026: NORTH//EAST Kickoff - East Open Qualifier (2026, ?, challengers)
2773  # Challengers 2025: DACH Evolution Stage 3 Relegation (2025, emea, challengers)
2802  # Challengers 2025: MENA Resilience Promotion/Relegation (2025, emea, challengers)
2750  # Challengers 2025: Korea & Japan Showdown (2025, pacific, challengers)
2717  # Challengers 2025: Türkiye Birlik Promotion/Relegation (2025, emea, challengers)
2714  # Challengers 2025: France Revolution Up and Down (2025, emea, challengers)
2521  # Challengers 2025: EMEA Stage 3 (2025, emea, challengers)
2604  # Challengers 2025: Brazil Gamers Club Last Chance Qualifier (2025, americas, challengers)
2603  # Challengers 2025: Latin America Finals (2025, ?, challengers)
2559  # Challengers 2025: Southeast Asia Stage 3 (2025, pacific, challengers)
2586  # Challengers 2025: Korea WDG Road to Ascension (2025, pacific, challengers)
2467  # Challengers 2025: North America ACE Stage 3 (2025, americas, challengers)
2615  # Challengers 2025: LATAM ACE Promotion/Relegation (2025, americas, challengers)
2611  # Challengers 2025: Spain Rising Promotion (2025, emea, challengers)
2311  # Challengers 2025: Japan Stage 3 (2025, pacific, challengers)
2547  # Challengers 2025: Korea WDG Stage 3 (2025, pacific, challengers)
2577  # Challengers 2025: MENA Resilience LAN Finals (2025, emea, challengers)
2581  # Challengers 2025: Spain Rising Finals (2025, emea, challengers)
2540  # Challengers 2025: NORTH//EAST Samsung Odyssey Stage 3 (2025, ?, challengers)
2523  # Challengers 2025: DACH Evolution Stage 3 (2025, emea, challengers)
2524  # Challengers 2025: Türkiye Birlik Stage 3 (2025, emea, challengers)
2542  # Challengers 2025: France Revolution Stage 3 (2025, emea, challengers)
2456  # Challengers 2025: LATAM South ACE Stage 2 (2025, americas, challengers)
2454  # Challengers 2025: Brazil Gamers Club Stage 2 (2025, americas, challengers)
2457  # Challengers 2025: LATAM North ACE Stage 2 (2025, americas, challengers)
2497  # Challengers 2025: Oceania Stage 2 (2025, pacific, challengers)
2480  # Challengers 2025: Spain Rising Stage 3 (2025, emea, challengers)
2468  # Challengers 2025: MENA Resilience North Africa and Levant Stage 2 (2025, emea, challengers)
2470  # Challengers 2025: MENA Resilience GCC-Pakistan-Iraq Stage 2 (2025, emea, challengers)
2558  # Challengers 2025 South Asia: Ascension Qualifiers (2025, pacific, challengers)
2527  # Challengers 2025: South Asia Stage 3 (2025, pacific, challengers)
2405  # Challengers 2025: Korea WDG Stage 2 (2025, pacific, challengers)
2404  # Challengers 2025: South Asia Stage 2 (2025, pacific, challengers)
2396  # Challengers 2025: North America ACE Stage 2 (2025, americas, challengers)
2401  # Challengers 2025: Oceania Stage 1 (2025, pacific, challengers)
2460  # Challengers 2025: EMEA Stage 2 (2025, emea, challengers)
2310  # Challengers 2025: Japan Stage 2 (2025, pacific, challengers)
2361  # Challengers 2025: Southeast Asia Stage 2 (2025, pacific, challengers)
2389  # Challengers 2025: Türkiye Birlik Stage 2 (2025, emea, challengers)
2391  # Challengers 2025: France Revolution Stage 2 (2025, emea, challengers)
2395  # Challengers 2025: DACH Evolution Stage 2 (2025, emea, challengers)
2386  # Challengers 2025: MENA Resilience North Africa and Levant Stage 1 (2025, emea, challengers)
2393  # Challengers 2025: Spain Rising Stage 2 (2025, emea, challengers)
2387  # Challengers 2025: MENA Resilience GCC-Pakistan-Iraq Stage 1 (2025, emea, challengers)
2392  # Challengers 2025 NORTH//EAST Stage 2 (2025, ?, challengers)
2325  # Challengers 2025: LATAM South ACE Stage 1 (2025, americas, challengers)
2324  # Challengers 2025: LATAM North ACE Stage 1 (2025, americas, challengers)
2304  # Challengers 2025: Brazil Gamers Club Stage 1 (2025, americas, challengers)
2301  # Challengers 2025: North America ACE Stage 1 (2025, americas, challengers)
2331  # Challengers 2025: Korea WDG Stage 1 (2025, pacific, challengers)
2366  # Challengers 2025: South Asia Stage 1 (2025, pacific, challengers)
2319  # Challengers 2025: DACH Evolution Stage 1 (2025, emea, challengers)
2316  # Challengers 2025: EMEA Stage 1 (2025, emea, challengers)
2317  # Challengers 2025: Spain Rising Stage 1 (2025, emea, challengers)
2315  # Challengers 2025: France Revolution Stage 1 (2025, emea, challengers)
2309  # Challengers 2025: Japan Stage 1 (2025, pacific, challengers)
2322  # Challengers 2025: Türkiye Birlik Kickoff (2025, emea, challengers)
2305  # Challengers 2025: Southeast Asia Stage 1 (2025, pacific, challengers)
2306  # Challengers 2025: NORTH//EAST Stage 1 (2025, ?, challengers)
2194  # Challengers 2024 Spain Rising: Consolidation (2024, emea, challengers)
